date,start_time,end_time,power
2023/03/13,16:00:00,16:10:00,9.45
2023/03/13,16:45:00,16:55:00,9.18
2023/03/13,17:15:00,17:25:00,8.508
2023/03/17,16:37:00,16:47:00,8.706
2023/03/17,16:52:00,17:02:00,9.804
2023/03/17,17:22:00,17:32:00,10.368
2023/03/20,16:04:00,16:11:40,8.949152542
2023/03/20,16:27:00,16:30:50,9.251239238
2023/03/20,17:04:00,17:09:00,9.312
2023/03/20,17:19:00,17:24:00,9.108
2023/03/20,17:26:00,17:31:00,8.916
2023/03/20,17:33:00,17:36:00,9.66
2023/03/20,17:42:00,17:47:00,7.812
2023/03/21,11:50:00,11:55:00,8.7
2023/03/21,14:12:00,14:17:30,8.34
2023/03/21,14:24:00,14:29:00,9.384
2023/03/21,15:16:30,15:21:30,8.316
2023/03/21,17:00:00,17:05:00,9.012
2023/03/21,17:09:00,17:14:00,9.42
2023/03/21,17:16:00,17:21:00,8.196
2023/03/21,17:22:00,17:27:00,8.688
