674618453.1266847,490556.0862533693,4,1074756131.661725,42672.26954177897,9.45
731339368.4117647,491286.22676896845,4,1231370841.3205457,42852.01364023871,9.18
735730551.9042792,489144.6914414414,4,1394689276.9954956,43521.126126126124,8.508
705277874.5016949,538558.1915254238,5,1143461027.4478815,61642.51525423729,8.706
766886669.6164204,575885.757635468,5,1228474532.9944172,77121.13366174056,9.804
818716042.897484,601356.5931477516,5,1437466387.1664882,88272.91541755889,10.368
783868460.1126629,612612.8631284917,6,1292401051.2595437,100014.74487895716,8.949152542
777259726.8779528,616751.1951006125,6,1278672261.307524,104688.1426071741,9.251239238
782748497.2136891,620503.9038500712,5,1300311890.154614,105028.17111427989,9.312
766599775.3826715,624347.5933878017,8,1290516182.265438,119741.37716131484,9.108
759472238.0452844,625846.6441433411,8,1257857594.1542165,131802.05098948118,8.916
763214570.3176957,627760.2350810624,8,1280285054.1010695,137995.86133149362,9.66
752782862.4695737,630526.0473478686,16,1222029029.6942728,155757.66547347867,7.812
750869327.1045215,631459.8586249613,16,1205596415.685042,170201.78383400434,8.7
741766126.4276277,630040.3738990017,7,1156113289.7473576,168351.48678802114,8.34
741483795.5392185,630440.5109985528,7,1165451919.178437,168100.58350217078,9.384
734086541.2879231,625650.4798718485,8,1121868692.2721827,165399.98885638668,8.316
725219720.3354278,619134.4025401069,8,1124126804.0391712,162698.07967914437,9.012
